datetime,open,high,low,close,volume,sentiment_score,event_count,max_importance,split
2024-01-01 22:00:00,1.10412,1.10416,1.10411,1.10411,12,0.0,0,0.0,train
2024-01-01 22:15:00,1.10411,1.10424,1.10411,1.10421,24,0.0,0,0.0,train
2024-01-01 22:30:00,1.10422,1.10425,1.10421,1.10424,21,0.0,0,0.0,train
2024-01-01 22:45:00,1.10415,1.10437,1.10415,1.10434,46,0.0,0,0.0,train
2024-01-01 23:00:00,1.10432,1.10436,1.10376,1.10376,254,0.0,0,0.0,train
2024-01-01 23:15:00,1.10376,1.10376,1.10363,1.10369,146,0.0,0,0.0,train
2024-01-01 23:30:00,1.10369,1.10377,1.10353,1.10359,170,0.0,0,0.0,train
2024-01-01 23:45:00,1.10358,1.10367,1.10349,1.10358,380,0.0,0,0.0,train
2024-01-02 00:00:00,1.10358,1.10373,1.10358,1.10365,217,0.0,0,0.0,train
2024-01-02 00:15:00,1.10365,1.10367,1.10334,1.10339,187,0.0,0,0.0,train
2024-01-02 00:30:00,1.10339,1.10351,1.10337,1.1035,240,0.0,0,0.0,train
2024-01-02 00:45:00,1.1035,1.10376,1.1035,1.10374,375,0.0,0,0.0,train
2024-01-02 01:00:00,1.10374,1.10426,1.10368,1.10381,772,0.0,0,0.0,train
2024-01-02 01:15:00,1.10382,1.10424,1.1038,1.10388,622,0.0,0,0.0,train
2024-01-02 01:30:00,1.10387,1.10392,1.10362,1.10376,696,0.0,0,0.0,train
2024-01-02 01:45:00,1.10377,1.10394,1.10336,1.10342,582,0.0,0,0.0,train
2024-01-02 02:00:00,1.10343,1.10353,1.10308,1.10312,671,0.0,0,0.0,train
2024-01-02 02:15:00,1.10312,1.10312,1.10255,1.10256,481,0.0,0,0.0,train
2024-01-02 02:30:00,1.10258,1.10262,1.10214,1.10231,765,0.0,0,0.0,train
2024-01-02 02:45:00,1.1023,1.10234,1.10175,1.10182,835,0.0,0,0.0,train
2024-01-02 03:00:00,1.10181,1.10231,1.10169,1.10216,494,0.0,0,0.0,train
2024-01-02 03:15:00,1.10217,1.10233,1.102,1.10207,337,0.0,0,0.0,train
2024-01-02 03:30:00,1.10207,1.10224,1.102,1.10223,246,0.0,0,0.0,train
2024-01-02 03:45:00,1.10226,1.10241,1.10226,1.10238,214,0.0,0,0.0,train
2024-01-02 04:00:00,1.10239,1.10243,1.10202,1.10212,181,0.0,0,0.0,train
2024-01-02 04:15:00,1.10212,1.10218,1.10185,1.10187,238,0.0,0,0.0,train
2024-01-02 04:30:00,1.10189,1.10197,1.10166,1.1017,280,0.0,0,0.0,train
2024-01-02 04:45:00,1.1017,1.10204,1.10159,1.10201,270,0.0,0,0.0,train
2024-01-02 05:00:00,1.10201,1.10245,1.10201,1.10243,465,0.0,0,0.0,train
2024-01-02 05:15:00,1.10243,1.10275,1.1024,1.10259,402,0.0,0,0.0,train
2024-01-02 05:30:00,1.10259,1.10297,1.10258,1.10294,356,0.0,0,0.0,train
2024-01-02 05:45:00,1.10295,1.1033,1.10286,1.10327,456,0.0,0,0.0,train
2024-01-02 06:00:00,1.10328,1.10337,1.10311,1.10316,401,0.0,0,0.0,train
2024-01-02 06:15:00,1.10315,1.10331,1.10294,1.10314,462,0.0,0,0.0,train
2024-01-02 06:30:00,1.10313,1.10341,1.10302,1.10329,510,0.0,0,0.0,train
2024-01-02 06:45:00,1.10329,1.10345,1.10262,1.1028,417,0.0,0,0.0,train
2024-01-02 07:00:00,1.10279,1.10304,1.10238,1.10276,929,0.0,0,0.0,train
2024-01-02 07:15:00,1.10276,1.10371,1.10271,1.10365,813,0.0,0,0.0,train
2024-01-02 07:30:00,1.10365,1.10374,1.10292,1.10294,982,0.0,0,0.0,train
2024-01-02 07:45:00,1.10292,1.10308,1.10144,1.10146,1780,0.0,0,0.0,train
2024-01-02 08:00:00,1.10149,1.10382,1.10149,1.10317,2333,0.0,0,0.0,train
2024-01-02 08:15:00,1.10316,1.10335,1.1027,1.10282,1381,0.0,0,0.0,train
2024-01-02 08:30:00,1.10281,1.10324,1.10273,1.10285,1051,0.0,0,0.0,train
2024-01-02 08:45:00,1.10287,1.10323,1.10245,1.1029,1166,0.0,0,0.0,train
2024-01-02 09:00:00,1.10289,1.10357,1.10282,1.10345,1060,0.0,0,0.0,train
2024-01-02 09:15:00,1.10344,1.10372,1.10324,1.10326,879,0.0,0,0.0,train
2024-01-02 09:30:00,1.10325,1.10345,1.10183,1.10189,1007,0.0,0,0.0,train
2024-01-02 09:45:00,1.10185,1.10193,1.10099,1.10145,1284,0.0,0,0.0,train
2024-01-02 10:00:00,1.10144,1.10165,1.09964,1.09994,1202,0.0,0,0.0,train
2024-01-02 10:15:00,1.09993,1.1005,1.09989,1.10034,1199,0.0,0,0.0,train
2024-01-02 10:30:00,1.10031,1.10095,1.10022,1.10091,1065,0.0,0,0.0,train
2024-01-02 10:45:00,1.10091,1.10104,1.10022,1.10069,1323,0.0,0,0.0,train
2024-01-02 11:00:00,1.10068,1.1007,1.09886,1.09888,1603,0.0,0,0.0,train
2024-01-02 11:15:00,1.09887,1.09913,1.09778,1.09797,1706,0.0,0,0.0,train
2024-01-02 11:30:00,1.09796,1.09796,1.09698,1.09703,1505,0.0,0,0.0,train
2024-01-02 11:45:00,1.09702,1.09722,1.09659,1.09686,1025,0.0,0,0.0,train
2024-01-02 12:00:00,1.09687,1.09712,1.09672,1.09686,1055,0.0,0,0.0,train
2024-01-02 12:15:00,1.09685,1.09688,1.09606,1.09649,1145,0.0,0,0.0,train
2024-01-02 12:30:00,1.09649,1.09675,1.09573,1.09601,1185,0.0,0,0.0,train
2024-01-02 12:45:00,1.09601,1.09627,1.0953,1.09531,1425,0.0,0,0.0,train
2024-01-02 13:00:00,1.0953,1.09579,1.09529,1.09571,1632,0.0,0,0.0,train
2024-01-02 13:15:00,1.09572,1.09616,1.09512,1.09573,1562,0.0,0,0.0,train
2024-01-02 13:30:00,1.09573,1.09643,1.09565,1.09637,1564,0.0,0,0.0,train
2024-01-02 13:45:00,1.09637,1.0964,1.09488,1.0952,1623,0.0,0,0.0,train
2024-01-02 14:00:00,1.0952,1.09567,1.09443,1.09454,1941,0.0,0,0.0,train
2024-01-02 14:15:00,1.09454,1.09531,1.09441,1.09513,1536,0.0,0,0.0,train
2024-01-02 14:30:00,1.09511,1.0963,1.09505,1.09566,2393,0.0,0,0.0,train
2024-01-02 14:45:00,1.0958,1.09636,1.0951,1.09624,2885,0.0,0,0.0,train
2024-01-02 15:00:00,1.09624,1.09676,1.09547,1.09572,2987,0.166667,1,1.0,train
2024-01-02 15:15:00,1.09573,1.09612,1.09524,1.09587,2435,0.166667,0,0.0,train
2024-01-02 15:30:00,1.09587,1.09587,1.09492,1.0952,2431,0.166667,0,0.0,train
2024-01-02 15:45:00,1.0952,1.09549,1.09404,1.09429,2317,0.166667,0,0.0,train
2024-01-02 16:00:00,1.0943,1.09574,1.09402,1.09567,1821,0.166667,1,1.0,train
2024-01-02 16:15:00,1.09567,1.09609,1.09551,1.09572,1282,0.166667,0,0.0,train
2024-01-02 16:30:00,1.09571,1.09572,1.09438,1.09458,1190,0.166667,0,0.0,train
2024-01-02 16:45:00,1.09458,1.09573,1.09458,1.09557,1027,0.166667,0,0.0,train
2024-01-02 17:00:00,1.09559,1.09568,1.09474,1.09501,718,0.166667,1,1.0,train
2024-01-02 17:15:00,1.09502,1.0955,1.09451,1.09528,1083,0.166667,0,0.0,train
2024-01-02 17:30:00,1.09529,1.09554,1.09509,1.09509,766,0.166667,0,0.0,train
2024-01-02 17:45:00,1.09509,1.0952,1.09461,1.09499,977,0.166667,0,0.0,train
2024-01-02 18:00:00,1.09498,1.09538,1.0947,1.09523,822,0.2169086,2,1.0,train
2024-01-02 18:15:00,1.09523,1.09552,1.09517,1.09538,607,0.2169086,0,0.0,train
2024-01-02 18:30:00,1.09537,1.09543,1.0947,1.09475,669,0.2169086,0,0.0,train
2024-01-02 18:45:00,1.09476,1.09496,1.09456,1.09461,1028,0.2169086,0,0.0,train
2024-01-02 19:00:00,1.0946,1.09469,1.0942,1.09459,594,0.2170546511627906,2,1.0,train
2024-01-02 19:15:00,1.09457,1.09492,1.09438,1.09487,554,0.2170546511627906,0,0.0,train
2024-01-02 19:30:00,1.09487,1.09495,1.09454,1.09473,363,0.2170546511627906,0,0.0,train
2024-01-02 19:45:00,1.09473,1.09483,1.09445,1.09459,680,0.2170546511627906,0,0.0,train
2024-01-02 20:00:00,1.09459,1.09505,1.09449,1.09477,577,0.2172149512195122,2,1.0,train
2024-01-02 20:15:00,1.09476,1.09499,1.09451,1.09453,529,0.2172149512195122,0,0.0,train
2024-01-02 20:30:00,1.09453,1.09478,1.09452,1.09463,720,0.2172149512195122,0,0.0,train
2024-01-02 20:45:00,1.09462,1.09479,1.09414,1.09424,947,0.2172149512195122,0,0.0,train
2024-01-02 21:00:00,1.09423,1.09426,1.09388,1.09407,628,0.2173916923076923,2,1.0,train
2024-01-02 21:15:00,1.09406,1.0942,1.09376,1.09377,383,0.2173916923076923,0,0.0,train
2024-01-02 21:30:00,1.09378,1.09406,1.09378,1.094,251,0.2173916923076923,0,0.0,train
2024-01-02 21:45:00,1.09399,1.09415,1.09399,1.09403,273,0.2173916923076923,0,0.0,train
2024-01-02 22:00:00,1.0942,1.09426,1.09378,1.09394,79,0.2175875405405405,2,1.0,train
2024-01-02 22:15:00,1.09394,1.09411,1.09377,1.09384,231,0.2175875405405405,0,0.0,train
2024-01-02 22:30:00,1.09383,1.09399,1.09379,1.09389,284,0.2175875405405405,0,0.0,train
2024-01-02 22:45:00,1.09394,1.09415,1.09386,1.09395,105,0.2175875405405405,0,0.0,train
2024-01-02 23:00:00,1.09395,1.09432,1.09395,1.09424,161,0.2178057714285714,2,1.0,train
2024-01-02 23:15:00,1.09423,1.09424,1.09407,1.09422,230,0.2178057714285714,0,0.0,train
2024-01-02 23:30:00,1.09421,1.09423,1.09406,1.0941,187,0.2178057714285714,0,0.0,train
2024-01-02 23:45:00,1.09409,1.09429,1.09402,1.09407,252,0.2178057714285714,0,0.0,train
2024-01-03 00:00:00,1.09409,1.0944,1.09404,1.0944,186,0.2180504545454545,2,1.0,train
2024-01-03 00:15:00,1.09439,1.09482,1.09433,1.09481,229,0.2180504545454545,0,0.0,train
2024-01-03 00:30:00,1.09481,1.09499,1.09476,1.09492,287,0.2180504545454545,0,0.0,train
2024-01-03 00:45:00,1.09492,1.09497,1.09476,1.09487,181,0.2180504545454545,0,0.0,train
2024-01-03 01:00:00,1.09486,1.09501,1.09473,1.09491,422,0.2183267096774193,2,1.0,train
2024-01-03 01:15:00,1.0949,1.09505,1.09442,1.095,828,0.2183267096774193,0,0.0,train
2024-01-03 01:30:00,1.09501,1.09537,1.09496,1.09537,504,0.2183267096774193,0,0.0,train
2024-01-03 01:45:00,1.09537,1.09541,1.09501,1.09506,383,0.2183267096774193,0,0.0,train
2024-01-03 02:00:00,1.09507,1.09525,1.09491,1.09502,606,0.2186410689655172,2,1.0,train
2024-01-03 02:15:00,1.09502,1.09506,1.09479,1.09482,390,0.2186410689655172,0,0.0,train
2024-01-03 02:30:00,1.09483,1.09494,1.0948,1.09487,227,0.2186410689655172,0,0.0,train
2024-01-03 02:45:00,1.09487,1.09523,1.09485,1.09515,359,0.2186410689655172,0,0.0,train
2024-01-03 03:00:00,1.09515,1.09539,1.0948,1.09481,285,0.219002,2,1.0,train
2024-01-03 03:15:00,1.09482,1.0953,1.0948,1.09526,250,0.219002,0,0.0,train
2024-01-03 03:30:00,1.09526,1.09585,1.09525,1.09585,197,0.219002,0,0.0,train
2024-01-03 03:45:00,1.09585,1.09615,1.09584,1.09601,531,0.219002,0,0.0,train
2024-01-03 04:00:00,1.09599,1.09617,1.09589,1.096,286,0.21942068,2,1.0,train
2024-01-03 04:15:00,1.096,1.09613,1.09595,1.09596,336,0.21942068,0,0.0,train
2024-01-03 04:30:00,1.09596,1.09611,1.09586,1.0959,170,0.21942068,0,0.0,train
2024-01-03 04:45:00,1.0959,1.09617,1.09581,1.09616,120,0.21942068,0,0.0,train
2024-01-03 05:00:00,1.09616,1.0962,1.09596,1.09602,330,0.2199121739130435,2,1.0,train
2024-01-03 05:15:00,1.09603,1.09617,1.09579,1.0958,349,0.2199121739130435,0,0.0,train
2024-01-03 05:30:00,1.09579,1.09603,1.09555,1.09562,523,0.2199121739130435,0,0.0,train
2024-01-03 05:45:00,1.09561,1.09562,1.09505,1.09506,527,0.2199121739130435,0,0.0,train
2024-01-03 06:00:00,1.09505,1.0956,1.09504,1.09559,335,0.2204972857142857,2,1.0,train
2024-01-03 06:15:00,1.09559,1.09576,1.0954,1.09569,303,0.2204972857142857,0,0.0,train
2024-01-03 06:30:00,1.09569,1.09582,1.09566,1.09579,203,0.2204972857142857,0,0.0,train
2024-01-03 06:45:00,1.09578,1.09601,1.09577,1.0958,322,0.2204972857142857,0,0.0,train
2024-01-03 07:00:00,1.09573,1.09591,1.09538,1.09544,907,0.2212055789473684,2,1.0,train
2024-01-03 07:15:00,1.09544,1.09583,1.09507,1.09568,726,0.2212055789473684,0,0.0,train
2024-01-03 07:30:00,1.09569,1.0962,1.09563,1.09567,1063,0.2212055789473684,0,0.0,train
2024-01-03 07:45:00,1.09566,1.0962,1.09546,1.09597,793,0.2212055789473684,0,0.0,train
2024-01-03 08:00:00,1.09597,1.09648,1.09573,1.09634,1576,-0.4647295365853658,3,1.0,train
2024-01-03 08:15:00,1.09634,1.09636,1.09497,1.09521,1609,-0.4647295365853658,0,0.0,train
2024-01-03 08:30:00,1.09521,1.09572,1.09495,1.09553,1456,-0.4647295365853658,0,0.0,train
2024-01-03 08:45:00,1.09555,1.09558,1.09499,1.09519,1439,-0.4647295365853658,0,0.0,train
2024-01-03 09:00:00,1.09519,1.09557,1.09421,1.09427,1696,-0.4945269281553398,5,1.0,train
2024-01-03 09:15:00,1.09427,1.09445,1.09353,1.09382,1538,-0.4945269281553398,0,0.0,train
2024-01-03 09:30:00,1.09381,1.09436,1.0938,1.09386,1110,-0.4945269281553398,0,0.0,train
2024-01-03 09:45:00,1.09386,1.09409,1.09341,1.09357,1030,-0.4945269281553398,0,0.0,train
2024-01-03 10:00:00,1.09356,1.09383,1.09331,1.09344,1059,-0.5062665360824742,5,1.0,train
2024-01-03 10:15:00,1.09344,1.09344,1.09284,1.09287,825,-0.5062665360824742,0,0.0,train
2024-01-03 10:30:00,1.09287,1.09336,1.09254,1.09272,904,-0.5062665360824742,0,0.0,train
2024-01-03 10:45:00,1.09271,1.09336,1.09269,1.09272,1008,-0.5062665360824742,0,0.0,train
2024-01-03 11:00:00,1.09272,1.09292,1.09216,1.09219,1379,-0.5195542241758241,5,1.0,train
2024-01-03 11:15:00,1.09218,1.09249,1.09201,1.09221,856,-0.5195542241758241,0,0.0,train
2024-01-03 11:30:00,1.0922,1.09228,1.09147,1.09171,1174,-0.5195542241758241,0,0.0,train
2024-01-03 11:45:00,1.0917,1.09205,1.09159,1.09188,1035,-0.5195542241758241,0,0.0,train
2024-01-03 12:00:00,1.09187,1.09252,1.0917,1.09251,1140,-0.5347178211764706,5,1.0,train
2024-01-03 12:15:00,1.0925,1.09315,1.09243,1.09255,1103,-0.5347178211764706,0,0.0,train
