datetime,open,high,low,close,volume,sentiment_score,event_count,max_importance,split
2024-08-26 00:00:00,0.62232,0.6232,0.62216,0.62269,2841,0.0,0,0.0,train
2024-08-26 01:00:00,0.62269,0.62312,0.62219,0.62231,2624,0.0,0,0.0,train
2024-08-26 02:00:00,0.6223,0.62296,0.62212,0.62215,1598,0.0,0,0.0,train
2024-08-26 03:00:00,0.62215,0.62225,0.62124,0.62151,1705,0.0,0,0.0,train
2024-08-26 04:00:00,0.62152,0.62184,0.62127,0.6214,1279,0.0,0,0.0,train
2024-08-26 05:00:00,0.6214,0.62156,0.62092,0.62134,1424,0.0,0,0.0,train
2024-08-26 06:00:00,0.62134,0.62162,0.62079,0.62093,2211,0.0,0,0.0,train
2024-08-26 07:00:00,0.62092,0.62112,0.62025,0.62077,2618,0.0,0,0.0,train
2024-08-26 08:00:00,0.62078,0.62125,0.6205,0.62063,1842,0.0,0,0.0,train
2024-08-26 09:00:00,0.62062,0.6208,0.62037,0.62047,1515,0.0,0,0.0,train
2024-08-26 10:00:00,0.62048,0.62082,0.62021,0.62072,1429,0.0,0,0.0,train
2024-08-26 11:00:00,0.62072,0.62084,0.61966,0.61999,2033,0.0,0,0.0,train
2024-08-26 12:00:00,0.61999,0.62072,0.61977,0.6205,3657,0.0,0,0.0,train
2024-08-26 13:00:00,0.6205,0.62093,0.62011,0.6205,4573,-0.3333333333333333,2,2.0,train
2024-08-26 14:00:00,0.62049,0.62149,0.62008,0.62122,4350,-0.3333333333333333,2,2.0,train
2024-08-26 15:00:00,0.62123,0.62134,0.62021,0.62028,3185,-0.2443181818181818,3,2.0,train
2024-08-26 16:00:00,0.62029,0.62132,0.62022,0.62128,1685,-0.244047619047619,3,2.0,train
2024-08-26 17:00:00,0.62128,0.62161,0.62068,0.62099,1454,-0.24375,3,2.0,train
2024-08-26 18:00:00,0.62098,0.62108,0.62059,0.62095,1444,-0.2434210526315789,3,2.0,train
2024-08-26 19:00:00,0.62095,0.62113,0.62049,0.62066,1099,-0.2430555555555555,3,2.0,train
2024-08-26 20:00:00,0.62066,0.62068,0.62022,0.62026,513,-0.2426470588235294,3,2.0,train
2024-08-26 21:00:00,0.61912,0.62026,0.61912,0.62021,1130,-0.2421874999999999,3,2.0,train
2024-08-26 22:00:00,0.62016,0.62069,0.62014,0.62053,1515,-0.2416666666666667,3,2.0,train
2024-08-26 23:00:00,0.62054,0.62081,0.6204,0.62042,746,-0.2410714285714286,3,2.0,train
2024-08-27 00:00:00,0.62041,0.62063,0.6194,0.61961,1982,-0.2403846153846153,3,2.0,train
2024-08-27 01:00:00,0.61961,0.62153,0.61935,0.62127,2542,-0.2395833333333333,3,2.0,train
2024-08-27 02:00:00,0.62126,0.62129,0.6206,0.62111,1296,-0.2386363636363636,3,2.0,train
2024-08-27 03:00:00,0.62111,0.62156,0.62095,0.62153,1181,-0.2375,3,2.0,train
2024-08-27 04:00:00,0.62154,0.62191,0.62131,0.62185,1421,-0.236111111111111,3,2.0,train
2024-08-27 05:00:00,0.62186,0.62245,0.62182,0.62222,1329,-0.2343749999999999,3,2.0,train
2024-08-27 06:00:00,0.62221,0.62265,0.62162,0.62164,1809,-0.2321428571428571,3,2.0,train
2024-08-27 07:00:00,0.62162,0.62219,0.62116,0.62138,3172,-0.2291666666666666,3,2.0,train
2024-08-27 08:00:00,0.62137,0.62222,0.62132,0.62176,2337,-0.2249999999999999,3,2.0,train
2024-08-27 09:00:00,0.62175,0.62245,0.62163,0.62221,2950,-0.21875,3,2.0,train
2024-08-27 10:00:00,0.6222,0.62264,0.62201,0.62247,1817,-0.2083333333333333,3,2.0,train
2024-08-27 11:00:00,0.62246,0.62341,0.62239,0.62297,2469,-0.1874999999999999,3,2.0,train
2024-08-27 12:00:00,0.62296,0.62315,0.6224,0.62246,3044,-0.1250000000000001,3,2.0,train
2024-08-27 13:00:00,0.62245,0.62285,0.62205,0.62264,3889,0.3457178181818182,3,1.0,train
2024-08-27 14:00:00,0.62266,0.62357,0.62219,0.6232,4824,0.1496185079365079,4,2.0,train
2024-08-27 15:00:00,0.6232,0.62367,0.62296,0.62342,2860,0.1502235111111111,3,2.0,train
2024-08-27 16:00:00,0.62342,0.6238,0.62326,0.62348,1813,0.1500149186046512,3,2.0,train
2024-08-27 17:00:00,0.62348,0.62466,0.6234,0.62462,1654,0.1730632641509434,4,2.0,train
2024-08-27 18:00:00,0.62461,0.62541,0.62458,0.62495,1836,0.1730027623762376,4,2.0,train
2024-08-27 19:00:00,0.62492,0.62512,0.62457,0.62507,1136,0.1729359583333334,4,2.0,train
2024-08-27 20:00:00,0.62506,0.62528,0.62496,0.62509,641,0.1728618131868132,4,2.0,train
2024-08-27 21:00:00,0.62482,0.62494,0.62442,0.62485,1638,0.3503104840182648,5,2.0,train
2024-08-27 22:00:00,0.62491,0.62525,0.62458,0.62464,1245,0.3525369178743961,5,2.0,train
2024-08-27 23:00:00,0.62463,0.62468,0.62413,0.62417,1531,0.3550373743589743,5,2.0,train
2024-08-28 00:00:00,0.62416,0.62512,0.62412,0.62468,1906,0.3578657595628415,5,2.0,train
2024-08-28 01:00:00,0.62467,0.62491,0.62355,0.6238,4364,0.3610911111111111,5,2.0,train
2024-08-28 02:00:00,0.62381,0.62459,0.62373,0.62399,2386,0.3648033081761005,5,2.0,train
2024-08-28 03:00:00,0.62399,0.62497,0.62395,0.62493,1281,0.3691215782312925,5,2.0,train
2024-08-28 04:00:00,0.62494,0.62521,0.6244,0.62458,1086,0.3742075407407407,5,2.0,train
