datetime,open,high,low,close,volume,sentiment_score,event_count,max_importance,split
2025-06-02 00:00:00,1.37252,1.37259,1.37123,1.37166,2038,0.0,1,1.0,train
2025-06-02 01:00:00,1.37166,1.37197,1.37032,1.37178,2031,0.0,1,1.0,train
2025-06-02 02:00:00,1.37177,1.37197,1.37113,1.37164,1488,0.0,1,1.0,train
2025-06-02 03:00:00,1.37164,1.37279,1.37134,1.37223,1435,0.0,1,1.0,train
2025-06-02 04:00:00,1.37222,1.37248,1.372,1.37214,1337,0.0,1,1.0,train
2025-06-02 05:00:00,1.37216,1.37235,1.37119,1.37181,1502,0.0,1,1.0,train
2025-06-02 06:00:00,1.37179,1.37213,1.36981,1.37,2095,0.0,1,1.0,train
2025-06-02 07:00:00,1.37,1.37025,1.36735,1.36807,3152,0.0,1,1.0,train
2025-06-02 08:00:00,1.36807,1.36964,1.36737,1.36941,2175,0.0,1,1.0,train
2025-06-02 09:00:00,1.36941,1.36994,1.36846,1.36943,2717,0.0,1,1.0,train
2025-06-02 10:00:00,1.36942,1.36965,1.36851,1.36949,2306,0.0,1,1.0,train
2025-06-02 11:00:00,1.36948,1.371,1.36923,1.37055,2194,0.0,1,1.0,train
2025-06-02 12:00:00,1.37055,1.37061,1.36906,1.36952,3274,0.0,1,1.0,train
2025-06-02 13:00:00,1.36951,1.37124,1.36932,1.37015,3817,0.0,1,1.0,train
2025-06-02 14:00:00,1.37014,1.37077,1.36923,1.36995,5352,-0.1712183376623376,5,2.0,train
2025-06-02 15:00:00,1.36996,1.37048,1.36886,1.3699,3288,-0.171897775510204,5,2.0,train
2025-06-02 16:00:00,1.36989,1.37134,1.36982,1.37103,2548,-0.0873123944954128,6,2.0,train
2025-06-02 17:00:00,1.37104,1.37228,1.37096,1.37173,2108,-0.0668205331695331,7,2.0,train
2025-06-02 18:00:00,1.37173,1.37207,1.37082,1.37111,1798,-0.066771992248062,7,2.0,train
2025-06-02 19:00:00,1.37112,1.37145,1.37003,1.37014,1635,-0.0667181607629427,7,2.0,train
2025-06-02 20:00:00,1.37015,1.37158,1.37002,1.37111,784,-0.0666581239193083,7,2.0,train
2025-06-02 21:00:00,1.37089,1.37128,1.37079,1.37097,474,-0.066590743119266,7,2.0,train
2025-06-02 22:00:00,1.37096,1.37182,1.37096,1.37139,662,-0.0665145830618892,7,2.0,train
2025-06-02 23:00:00,1.37138,1.37151,1.37077,1.37099,840,-0.0664278083623693,7,2.0,train
2025-06-03 00:00:00,1.37105,1.37251,1.37101,1.37192,2034,-0.0663280337078651,6,2.0,train
2025-06-03 01:00:00,1.37194,1.37251,1.37178,1.37234,2312,-0.0656802771084337,6,2.0,train
2025-06-03 02:00:00,1.37234,1.37333,1.37226,1.37292,1633,-0.0649315714285714,6,2.0,train
2025-06-03 03:00:00,1.37294,1.37343,1.37285,1.37338,1211,-0.0640563239436619,6,2.0,train
2025-06-03 04:00:00,1.37338,1.37344,1.37314,1.37318,660,-0.0630194923076923,6,2.0,train
2025-06-03 05:00:00,1.37317,1.37385,1.3731,1.37318,1046,-0.0617717796610169,6,2.0,train
2025-06-03 06:00:00,1.37318,1.37373,1.37237,1.37237,2130,-0.0602415660377358,6,2.0,train
2025-06-03 07:00:00,1.37237,1.37346,1.37222,1.37313,2926,-0.058320659574468,6,2.0,train
2025-06-03 08:00:00,1.37309,1.37378,1.37264,1.37291,2527,-0.0558375365853658,6,2.0,train
2025-06-03 09:00:00,1.37292,1.37335,1.37217,1.37263,2088,-0.0525030571428571,6,2.0,train
2025-06-03 10:00:00,1.37263,1.3734,1.37238,1.37324,1941,-0.0477887931034482,6,2.0,train
2025-06-03 11:00:00,1.37323,1.37409,1.37313,1.37383,1965,-0.0406149130434782,6,2.0,train
2025-06-03 12:00:00,1.37381,1.37421,1.37257,1.37292,2835,-0.0283771176470588,6,2.0,train
2025-06-03 13:00:00,1.37289,1.37333,1.37172,1.37279,3204,-0.0027889999999999,6,2.0,train
2025-06-03 14:00:00,1.3728,1.37339,1.37003,1.37063,4469,-0.051475679245283,4,2.0,train
2025-06-03 15:00:00,1.37062,1.37297,1.37049,1.37211,2849,-0.0587284421768707,4,2.0,train
2025-06-03 16:00:00,1.37209,1.37307,1.37188,1.37246,1772,-0.0636799705882353,3,2.0,train
2025-06-03 17:00:00,1.37244,1.37256,1.37153,1.37183,1469,-0.0656096666666666,2,2.0,train
2025-06-03 18:00:00,1.37184,1.37242,1.37143,1.37147,1539,-0.0656096666666666,2,2.0,train
2025-06-03 19:00:00,1.37148,1.37199,1.37133,1.37188,1072,-0.0656096666666666,2,2.0,train
2025-06-03 20:00:00,1.37189,1.37202,1.37125,1.37199,1205,-0.0656096666666666,2,2.0,train
2025-06-03 21:00:00,1.37161,1.37199,1.37124,1.37179,227,-0.0656096666666666,2,2.0,train
2025-06-03 22:00:00,1.37188,1.37224,1.3716,1.37223,632,-0.3770731111111111,3,2.0,train
